"","Year","Datetime","Stage","Stadium","City","Home_Team_Name","Home_Team_Goals","Away_Team_Goals","Away_Team_Name","Win_conditions","Attendance","H_time_Home_Goals","H_time_Away_Goals","Referee","Assistant_1","Assistant_2","RoundID","MatchID","Home_Team_Initials","Away_Team_Initials","Winner","Winner_Goals"
"720",2010,"15 Jun 2010 - 13:30","Group F","Royal Bafokeng Sports Palace","Phokeng","New Zealand",1,1,"Slovakia",NA,23871,0,0,"DAMON Jerome (RSA)","NTAGUNGIRA Celestin (RWA)","MOLEFE Enock (RSA)",249722,300061483,"NZL","SVK","Tie",1
"721",2010,"15 Jun 2010 - 16:00","Group G","Port Elizabeth Stadium","Nelson Mandela Bay/Port Elizabeth","Cote d'Ivore",0,0,"Portugal",NA,37034,0,0,"LARRIONDA Jorge (URU)","FANDINO Pablo (URU)","ESPINOSA Mauricio (URU)",249722,300061489,"CIV","POR","Tie",0
"722",2010,"15 Jun 2010 - 20:30","Group G","Ellis Park Stadium","Johannesburg","Brazil",2,1,"Korea DPR",NA,54331,0,0,"KASSAI Viktor (HUN)","EROS Gabor (HUN)","VAMOS Tibor (HUN)",249722,300061490,"BRA","PRK","BRA",2
"723",2010,"16 Jun 2010 - 13:30","Group H","Mbombela Stadium","Nelspruit","Honduras",0,1,"Chile",NA,32664,0,1,"MAILLET Eddy (SEY)","MENKOUANDE Evarist (CMR)","HASSANI Bechir (TUN)",249722,300061495,"HON","CHI","CHI",1
"724",2010,"16 Jun 2010 - 16:00","Group H","Durban Stadium","Durban","Spain",0,1,"Switzerland",NA,62453,0,0,"WEBB Howard (ENG)","Darren CANN (ENG)","MULLARKEY Michael (ENG)",249722,300111112,"ESP","SUI","SUI",1
"725",2010,"16 Jun 2010 - 20:30","Group A","Loftus Versfeld Stadium","Tshwane/Pretoria","South Africa",0,3,"Uruguay",NA,42658,0,1,"BUSACCA Massimo (SUI)","ARNET Matthias (SUI)","BURAGINA Francesco (SUI)",249722,300061452,"RSA","URU","URU",3
"726",2010,"17 Jun 2010 - 13:30","Group B","Soccer City Stadium","Johannesburg","Argentina",4,1,"Korea Republic",NA,82174,2,1,"DE BLEECKERE Frank (BEL)","HERMANS Peter (BEL)","VROMANS Walter (BEL)",249722,300061458,"ARG","KOR","ARG",4
"727",2010,"17 Jun 2010 - 16:00","Group B","Free State Stadium","Mangaung/Bloemfontein","Greece",2,1,"Nigeria",NA,31593,1,1,"RUIZ Oscar (COL)","GONZALEZ Abraham (COL)","CLAVIJO Humberto (COL)",249722,300061457,"GRE","NGA","GRE",2
"728",2010,"17 Jun 2010 - 20:30","Group A","Peter Mokaba Stadium","Polokwane","France",0,2,"Mexico",NA,35370,0,0,"AL GHAMDI Khalil (KSA)","KAMRANIFAR Hassan (IRN)","AL MARZOUQI Saleh (UAE)",249722,300061451,"FRA","MEX","MEX",2
"729",2010,"18 Jun 2010 - 13:30","Group D","Port Elizabeth Stadium","Nelson Mandela Bay/Port Elizabeth","Germany",0,1,"Serbia",NA,38294,0,1,"Alberto UNDIANO MALLENCO (ESP)","MARTINEZ Fermin (ESP)","YUSTE Juan (ESP)",249722,300061470,"GER","SRB","SRB",1
